,Unnamed: 0,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
120,139,"5902 N Hampton Dr, Austin, TX 78723, USA",5902 North Hampton Drive in Austin (TX),30.311251000000002,-97.6856108,1,78723,OK
121,140,"13901 FM 969, Austin, TX 78725, USA",13901 Fm 969 in Travis (TX),30.247792200000003,-97.5876199,1,78725,OK
122,141,"5707 Magee Bend, Austin, TX 78749, USA",5707 Magee Bend in Austin (TX),30.2112792,-97.8695454,1,78749,OK
123,142,"Sebastian Bend & Harris Ridge Blvd, Parkside, TX 78660, USA",Harris Redge Blvd And Sebastian Bend in Pflugerville (TX),30.420050300000003,-97.64464709999999,1,78660,OK
124,143,"Travis, TX 76570, USA",Travis (TX),31.1354588,-97.0027678,1,76570,OK
125,144,"1501 FM973, Austin, TX 78725, USA",1501 Fm973 in Austin (TX),30.222030199999995,-97.6335725,1,78725,OK
126,145,"14507 Gold Fish Pond Ave, Austin, TX 78728, USA",14507 Gold Fish Pond Ave. in Austin (TX),30.4425076,-97.68232460000002,1,78728,OK
127,146,"14907 Lucerne Dr, Del Valle, TX 78617, USA",14907 Lucerne Dr in Travis (TX),30.127519,-97.613872,1,78617,OK
128,147,"11906 Bronco Cir, Buda, TX 78610, USA",11906 Bronco Circle in Austin (TX),30.06294,-97.704257,1,78610,OK
129,148,"5708 Elk Crossing, Austin, TX 78724, USA",5708 Elk Crossing in Austin (TX),30.282034200000002,-97.6285581,1,78724,OK
130,149,"5315 Ed Bluestein Blvd, Austin, TX 78723, USA",5315 Ed Bluestein Blvd in Austin (TX),30.29183299999999,-97.6624273,1,78723,OK
131,150,"10900 Research Blvd, Austin, TX 78759, USA",Braker Ln And Hwy 183 in Austin (TX),30.401952,-97.746882,1,78759,OK
132,151,"4902 Teri Rd, Austin, TX 78744, USA",4902 Teri Rd in Austin (TX),30.195494800000002,-97.7396969,1,78744,OK
133,152,"3006 Royster Ave, Del Valle, TX 78617, USA",3006 Royster in Austin (TX),30.206408000000003,-97.6394797,1,78617,OK
134,153,"1120 Brookswood Ave, Austin, TX 78721, USA",1120 Brookswood Ave in Austin (TX),30.2652495,-97.6895545,1,78721,OK
135,154,"615 Thrasher Ln, Austin, TX 78741, USA",615 Thrasher in Austin (TX),30.2368206,-97.6938377,1,78741,OK
136,155,"Shoal Creek Blvd & W Anderson Ln, Austin, TX 78757, USA",West Anderson Lane And Shoal Creek Blvd in Austin (TX),30.3609725,-97.7408831,1,78757,OK
137,156,"3100 Collins Creek Dr, Austin, TX 78741, USA",3100 Collins Creek Dr in Austin (TX),30.2225423,-97.7325785,1,78741,OK
138,157,"1105 E Cesar Chavez St, Austin, TX 78702, USA",1105 E Cesar Chavez St in Austin (TX),30.259905699999997,-97.7334802,1,78702,OK
139,158,"8028 Elroy Rd, Del Valle, TX 78617, USA",8028 Elroy Rd in Travis (TX),30.141272999999998,-97.618305,1,78617,OK
140,159,"13005 Heinemann Dr, Austin, TX 78727, USA",13005 Heinemann Dr in Austin (TX),30.44091139999999,-97.7441275,1,78727,OK
141,160,,Outside Jurisdiction,,,0,,ZERO_RESULTS
142,161,"7007 Mt Carrell Dr, Austin, TX 78745, USA",7007 Mount Carrell Dr in Austin (TX),30.196428000000004,-97.7965002,1,78745,OK
143,162,"10203 Doc Holliday Trail, Austin, TX 78753, USA",10203 Doc Holiday Trl in Austin (TX),30.36760529999999,-97.685738,1,78753,OK
144,163,"2300 Devonshire Dr, Austin, TX 78723, USA",2300 Devonshire Dr in Austin (TX),30.3126094,-97.6838299,1,78723,OK
145,164,"101 Jones Rd, Manor, TX 78653, USA",101 Jones Road in Manor (TX),30.300947499999996,-97.4918341,1,78653,OK
146,165,"N Lamar Blvd & W Rundberg Ln, Austin, TX 78753, USA",West Rundberg Lane And North Lamar Boulevard in Austin (TX),30.363062,-97.69702740000001,1,78753,OK
147,166,"501 E 8th St, Austin, TX 78701, USA",501 E 8Th in Austin (TX),30.268242200000003,-97.737172,1,78701,OK
148,167,"5801 Interregional Hwy, Austin, TX 78723, USA",5801 Interregional Hwy in Austin (TX),30.318645299999996,-97.7066908,1,78723,OK
149,168,"Roseborough Dr & Running Water Dr, Austin, TX 78747, USA",Roseborough Dr And Running Water in Austin (TX),30.159958000000003,-97.7408942,1,78747,OK
150,169,"11039 Maha Loop Rd, Austin, TX 78719, USA",11039 Maha Loop in Travis (TX),30.0953522,-97.6839841,1,78719,OK
151,170,"Little Pebble Dr, Austin, TX 78758, USA",Little Pebble Dr And Metric in Austin (TX),30.38198989999999,-97.71109870000001,1,78758,OK
152,171,"Bluff Springs Rd & E William Cannon Dr, Austin, TX 78744, USA",Bluff Springs And East William Cannon in Austin (TX),30.189239299999997,-97.767852,1,78744,OK
153,172,"6403 Johnny Morris Rd, Austin, TX 78724, USA",6403 Johnny Morris Rd in Austin (TX),30.296940000000003,-97.648866,1,78724,OK
154,173,"6620 Deatonhill Dr, Austin, TX 78745, USA",6620 Deatonhill Dr in Austin (TX),30.210911100000004,-97.815184,1,78745,OK
155,174,"2753 Citation Dr, Del Valle, TX 78617, USA",2753 Citation Drive in Del Valle (TX),30.211774,-97.526525,1,78617,OK
156,175,"3227 E 5th St, Austin, TX 78702, USA",3227 E 5Th St in Austin (TX),30.2544778,-97.70628590000001,1,78702,OK
157,176,"7322 Dixie Dr, Austin, TX 78744, USA",7322 Dixie in Austin (TX),30.166866,-97.74466170000001,1,78744,OK
158,177,"8645 Research Blvd, Austin, TX 78758, USA",Ohlen And 183 in Austin (TX),30.3637146,-97.7169863,1,78758,OK
159,178,"9807 Middle Fiskville Rd, Austin, TX 78753, USA",9807 Middle Fiskville Rd in Austin (TX),30.360991,-97.68301,1,78753,OK
160,179,"Peaceful Hill Ln, Austin, TX 78748, USA",Peaceful Hill Ln in Austin (TX),30.1793105,-97.7894007,1,78748,OK
161,180,"189 Jacobson Rd, Del Valle, TX 78617, USA",189 Jacobson Rd in Del Valle (TX),30.115205699999997,-97.5906151,1,78617,OK
162,181,"W 45th St & Guadalupe St, Austin, TX 78705, USA",45Th St And Guadalupe St in Austin (TX),30.310841600000003,-97.7329807,1,78705,OK
163,182,"2808 Palomino Trail, Austin, TX 78744, USA",2808 Palomino Trl in Austin (TX),30.2104761,-97.6919081,1,78744,OK
164,183,"1354 Old Lockhart Rd, Buda, TX 78610, USA",1354 Old Lockhart Hwy in Travis (TX),30.0705489,-97.7184638,1,78610,OK
165,184,"1005 Springdale Rd, Austin, TX 78721, USA",1005 Springdale in Austin (TX),30.265342200000003,-97.6944526,1,78721,OK
166,185,"4511 E Hwy 71, Del Valle, TX 78617, USA",4511 E Hwy 71 in Del Valle (TX),30.188649100000003,-97.6114118,1,78617,OK
167,186,"1909 Coats Cir, Austin, TX 78748, USA",1909 Coats Cir in Austin (TX),30.1591853,-97.834395,1,78748,OK
